observation_type,domain,dataset_instance,var_name,var_label,var_def,pct_public,keep_previous,keep
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECURBTRVDELAYINDEX,Urban travel delay index,Measures the increase in travel times due to congestion in the street network. The index for each area unit is approximated by measuring delays for 30 random origin-destination pairs in the street network and seven points in time during peak hours of a typical weekday. Each pair of points and moment in time determine a set of observations for each unit. Interpretation: Index ranges from zero to infinity. A value of zero means that traffic does not increase travel time. An index of X means travel time in traffic is (1+X) times the travel time without traffic. Year of data: January 2018.,0,,
area-level,Physical and Natural Environment,BEC_RESTRICTED_v2.0,BECURBTRVDELAYTIME,Urban travel delay time,Measures the average travel time delay (in minutes) due to congestion in the street network. Larger values mean longer time delays due to congestion (minutes). The index for each area unit is approximated by measuring delays for 30 random origin-destination pairs in the street network and seven points in time during peak hours of a typical weekday. Each pair of points and moment in time determine a set of observations for each unit. The index for each area unit is approximated by measuring delays for 30 random origin-destination pairs in the street network and seven points in time during peak hours of a typical weekday. Each pair of points and moment in time determine a set of observations for each unit. ,0,,
area-level,Physical and Natural Environment,BEC_v2.0,BECADAREA,Administrative unit total area,"Area in km2 of the administrative boundary. This is the total area, including land and water, within L3's boundary.",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADCRCTYAVG,Circuity average,"Measures the average ratio of network distances to straight-line distances. Average of the length of each edge divided by the great circle distances between the nodes of each edge.  Interpretation: For each edge in the network, its circuity is the ratio between the edge length and the straight line distance between its two end points. Varies from 1 to infinity, where streets that are straight lines have circuity of 1, and curved streets have higher circuity. Year of data: September 2017 for L1, January 2018 for L2",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADINTCOUNT,Total number of intersections,"Each intersection (a point where more than 2 streets meet) becomes a node of the network. Total number of intersections measures the number of nodes with more than one street emanating from them (thus excluding dead-ends). Year of data: September 2017 for L1_AD, January 2018 for L2, 2020 for L3.",0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADINTDENS,Intersection density,"Measures the amount of intersections per km2 of area. Each intersection (a point where more than 2 streets meet) becomes a node of the network. Node density of the set of nodes with more than one street emanating from them (thus excluding dead-ends). Higher values means more connected. Interpretation: Varies from 0 to infinity. Cities with higher values have a lot of intersections by unit of area. Year of data: September 2017 for L1_AD, January 2018 for L2, 2020 for L3.",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADINTDENS3,Intersection density 3-way,"Measures the amount of intersections where exactly 3 streets meet per km2 of area. Each intersection (a point where more than 2 streets meet) becomes a node of the network. Node density of the set of nodes with 3 streets emanating from them. Higher values means more connected. Interpretation: Varies from 0 to infinity. Cities with higher values have a lot of intersections with 3 incoming streets by unit of area.Year of data: September 2017 for L1_AD, January 2018 for L2",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADINTDENS4,Intersection density 4-way,"Measures the amount of intersections where exactly 4 streets meet per km2 of area. Each intersection (a point where more than 2 streets meet) becomes a node of the network. Node density of the set of nodes with 4 streets emanating from them. Higher values means more connected. Interpretation: Varies from 0 to infinity. Cities with higher values have a lot of intersections with 4 incoming streets by unit of area.Year of data: September 2017 for L1_AD, January 2018 for L2",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADLRDENS,Large road density,"Measures the total length of streets in meters with four or more lanes per km2 of area. Interpretation: Varies from 0 to infinity. Cities with higher values have more large streets per unit of area; Higher values means more traffic, more obstacles, less walkability. Year of data: September 2017 for L1_AD, January 2018 for L2. ",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADSTTDENS,Street density,"Measures the total length of streets in meters per km2 of area. Each intersection (a point where more than 2 streets meet) becomes a node of the network and each street segment connecting two intersections becomes an edge in the network. Street density sums of all links in the undirected representation of the network divided by the area. Interpretation: Varies from 0 to infinity. Cities with higher values have a lot of streets by unit of area. Year of data:  September 2017 for L1_AD, January 2018 for L2, 2020 for L3.",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADSTTLGAVG,Street length average,"Measures the average length of streets in the street network. Each intersection (a point where more than 2 streets meet) becomes a node of the network and each street segment connecting two intersections becomes an edge in the network. Interpretation: Small values represent smaller blocks and large values represent larger street segments or blocks. Year of data: September 2017 for L1_AD, January 2018 for L2.",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADSTTPNODEAVG,Streets per node average,"Measures the distribution of the number of streets that meet at each intersection of the street network. Each intersection (a point where more than 2 streets meet) becomes a node of the network and each street segment connecting two intersections becomes an edge in the network. Interpretation: Varies from 2 to infinity. Higher values mean on average intersections connect to more intersections. Year of data: September 2017 for L1_AD, January 2018 for L2.",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADSTTPNODESD,Streets per node standard deviation,"Measures the distribution of the number of streets that meet at each intersection of the street network.  Each intersection (a point where more than 2 streets meet) becomes a node of the network and each street segment connecting two intersections becomes an edge in the network. The standard deviation of the number of physical streets (i.e., edges in the undirected representation of the graph) that emanate from each intersection and dead-end. Interpretation: Higher values mean more variability in the number of incoming edges (streets) for each node in the network; the statistical and spatial distributions of number of streets per intersection characterize the type, prevalence, and dispersion of intersection connectedness in the network. Year of data: September 2017 for L1_AD, January 2018 for L2.",17.02,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADSTTTLENGTH,Total street length,"Total street length considering all types of streets within the areal unit. Each intersection (a point where more than 2 streets meet) becomes a node of the network and each street segment connecting two intersections becomes an edge in the network. Street length sums of all links in the undirected representation of the network. Year of data: September 2017 for L1_AD, January 2018 for L2, 2020 for L3.",0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECADTYPE,L3 source type,An indicator variable for sources of L3 boundary,0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECAERTRAMLNGTH,Aerial tram length,"Measure of the Aerial Tram system supply. The aerial tramway is based on the principle of cableways in sightseeing tours in alpine resorts. The aerial tramway is a type or aerial lift which uses one or two stationary support ropes and a third moving rope to move a cabin through a defined path. For the cities where it does not exist, we assume zero as the value of the city. Interpretation: The total length in km of Aerial Tram. A unit with higher values has a bigger aerial tram system. Country team input: The draft of measures was sent to each country team to check for face validity.  Country teams used their expert knowledge and/or any existing criteria used to suggest any changes to the aerial tram variables at L1 and L2 “subcity”.  Year of data: December 2017",14.51,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECAVGPTCHAREA,Mean patch size,"Total urban area (in hectares) divided by number of urban patches. Interpretation: Indicator of urban fragmentation. Larger values reflect a larger size of urban development; low values reflect scattered, small development.",2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECAWAVGPTCHAREA,Area-weighted mean patch size,"Weighted average of urban patch size (in hectares). This value is weighted by the area of each patch. By weighting by patch size, larger urban patches have a higher influence in this weighted-average metric. Researchers could decide at their own discretion on using this weighted index or the corresponding unweighted one. Interpretation: Indicator of fragmentation. Larger values reflect a larger size of urban development; low values reflect scattered, small development.",2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECAWEDGDENS,Area-weighted edge density,"Total perimeter of all patches multiplied by the corresponding area weight, and divided by the total area of the geographic unit. This is the area-weighted version of edge density. By weighting by patch size, larger urban patches have a higher influence in this weighted-average metric. Researchers could decide at their own discretion on using this weighted index or the corresponding unweighted one. Interpretation: Indicator of fragmentation and shape complexity. A higher value indicates, for the same total area of urban patches: (1) there are likely to be more smaller patches versus fewer larger patches, and (2) on average, patches have a more complex shape.",2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECAWMNNNGH,Area-weighted Mean Nearest Neighbor Distance,"Mean distance (in meters) to the nearest urban patch within the geographic boundary. This value is weighted by the area of each patch. Interpretation: Indicator of isolation among patches of a similar class, a higher value indicates higher level of isolation. By weighting by patch size, larger urban patches have a higher influence in this weighted-average metric.",2.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECAWMNSHPINDX,Area-weighted mean shape index,"Shape index is a ratio of the actual perimeter of a patch to the minimum perimeter possible for a maximally compact patch with the same size. The area-weighted mean shape index is the weighted average of the shape index for each patch within the geographic boundary. This index is weighted by the area of each patch. Interpretation: Shape index ranges from 1 to infinity, with 1 being the index for a patch that is maximally compact. A lower value indicates higher levels of compactness of each individual patch. By weighting by patch size, larger urban patches have a higher influence in this weighted-average metric.",2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECBRTLNGTH,Bus Rapid Transit length,Measure of overall levels of Bus Rapid Transit (BRT) supply. For cities where there is no BRT system we assign zero as the value of the geographic level. The BRT is a bus-based public transport system designed to improve upon the capacity and reliability of a conventional bus system. A BRT system includes roadways specially designated as corridors for buses and stations for boarding. BRT aims to combine the capacity and speed of a metro and the flexibility and lower cost of a bus system. The total length in km of BRT in the geographic unit. A unit with higher values have a bigger BRT system. Year of data: September 2017. Country team input: The draft of measures was sent to each country team to check for face validity.  Country teams used their expert knowledge and/or any existing criteria used to suggest any changes to the BRT variables at L1 and L_2 “subcity”. ,14.55,0,
